packet_size,time,threads,gib
15000,0,1,0
15000,1,1,1.11046
15000,2,1,1.11034
15000,3,1,1.10953
15000,4,1,1.10929
65536,0,1,0
65536,1,1,1.11127
65536,2,1,1.10938
65536,3,1,1.1098
65536,4,1,1.10956
15000,0,2,0
15000,1,2,2.22181
15000,2,2,2.21971
15000,3,2,2.21903
15000,4,2,2.21914
65536,0,2,0
65536,1,2,2.05017
65536,2,2,2.047
65536,3,2,2.13306
65536,4,2,2.0257
15000,0,3,0
15000,1,3,3.33352
15000,2,3,3.32929
15000,3,3,3.32827
15000,4,3,3.32984
65536,0,3,0
65536,1,3,3.33368
65536,2,3,3.32812
65536,3,3,3.32892
65536,4,3,3.32782
15000,0,4,0
15000,1,4,3.97294
15000,2,4,3.96316
15000,3,4,3.96146
15000,4,4,3.95933
65536,0,4,0
65536,1,4,4.4458
65536,2,4,4.43872
65536,3,4,4.43866
65536,4,4,4.43768
15000,0,5,0
15000,1,5,5.55682
15000,2,5,5.54739
15000,3,5,5.54811
15000,4,5,5.5471
65536,0,5,0
65536,1,5,5.4118
65536,2,5,5.52893
65536,3,5,5.27698
65536,4,5,5.27393
15000,0,6,0
15000,1,6,6.19645
15000,2,6,6.1581
15000,3,6,6.18281
15000,4,6,6.18188
65536,0,6,0
65536,1,6,6.19556
65536,2,6,6.1825
65536,3,6,6.18311
65536,4,6,6.1825
15000,0,7,0
15000,1,7,5.72446
15000,2,7,5.8133
15000,3,7,5.874
15000,4,7,5.88324
65536,0,7,0
65536,1,7,6.15851
65536,2,7,6.09949
65536,3,7,6.12946
65536,4,7,6.07758
15000,0,8,0
15000,1,8,6.17661
15000,2,8,6.22986
15000,3,8,5.84382
15000,4,8,5.98627
65536,0,8,0
65536,1,8,7.43036
65536,2,8,7.81195
65536,3,8,7.87616
65536,4,8,7.8493
15000,0,9,0
15000,1,9,7.3144
15000,2,9,7.29323
15000,3,9,7.29244
15000,4,9,7.29368
15000,5,9,7.29423
65536,0,9,0
65536,1,9,7.80383
65536,2,9,7.84613
65536,3,9,7.85187
65536,4,9,7.78827
15000,0,10,0
15000,1,10,7.96154
15000,2,10,7.95072
15000,3,10,7.92142
15000,4,10,8.00702
65536,0,10,0
65536,1,10,7.27112
65536,2,10,7.25012
65536,3,10,7.26392
65536,4,10,7.26129
15000,0,11,0
15000,1,11,6.84648
15000,2,11,6.81541
15000,3,11,6.8195
15000,4,11,6.81947
65536,0,11,0
65536,1,11,9.05713
65536,2,11,9.01526
65536,3,11,9.03412
65536,4,11,9.03735
15000,0,12,0
15000,1,12,9.02559
15000,2,12,8.99181
15000,3,12,8.97318
15000,4,12,8.97872
65536,0,12,0
65536,1,12,9.71667
65536,2,12,9.68628
65536,3,12,9.66595
65536,4,12,9.5802
15000,0,13,0
15000,1,13,10.6651
15000,2,13,10.6556
15000,3,13,10.6771
15000,4,13,10.6514
65536,0,13,0
65536,1,13,10.2388
65536,2,13,10.1896
65536,3,13,10.2844
65536,4,13,10.2288
15000,0,14,0
15000,1,14,11.0586
15000,2,14,11.0665
15000,3,14,11.0436
15000,4,14,11.0929
65536,0,14,0
65536,1,14,10.2922
65536,2,14,10.3265
65536,3,14,10.3466
65536,4,14,10.389
15000,0,15,0
15000,1,15,8.93401
15000,2,15,8.90361
15000,3,15,8.82271
15000,4,15,8.87866
65536,0,15,0
65536,1,15,10.0943
65536,2,15,10.0081
65536,3,15,9.82245
65536,4,15,9.88422
15000,0,16,0
15000,1,16,9.63085
15000,2,16,9.75269
15000,3,16,9.61903
15000,4,16,9.69297
65536,0,16,0
65536,1,16,9.61633
65536,2,16,9.53363
65536,3,16,9.55139
65536,4,16,9.47192
